Report_ID,Team,Timeline,Tasks_Completed,Issues_Flagged,Reports_Summary,Progress_Rating
RPT001,TM_PROD007_03,2023-W02,156,20,Partial success in meeting the objectives.,2
RPT002,TM_PROD004_03,2023-W02,121,2,Highly productive team with remarkable outcomes.,5
RPT003,TM_PROD003_02,2023-W02,135,14,Goals achieved efficiently with minimal setbacks.,4
RPT004,TM_PROD002_01,2023-W03,181,5,High productivity and consistent task execution.,4
RPT005,TM_PROD001_03,2023-W03,64,15,Outstanding efficiency and goal achievement.,5
RPT006,TM_PROD007_01,2023-W03,113,3,"Significant challenges faced, with limited task completion.",1
RPT007,TM_PROD001_02,2023-W03,137,2,Strong performance with effective task completion.,4
RPT008,TM_PROD006_03,2023-W05,108,2,"Some goals achieved, but consistency was lacking.",2
RPT009,TM_PROD004_02,2023-W06,98,20,Goals achieved efficiently with minimal setbacks.,4
RPT010,TM_PROD001_01,2023-W07,65,2,"Consistent effort, delivering reliable outcomes.",3
RPT011,TM_PROD007_01,2023-W07,188,0,"Underperformed, with several pending issues.",1
RPT012,TM_PROD004_01,2023-W07,161,7,"Some goals achieved, but consistency was lacking.",2
RPT013,TM_PROD004_02,2023-W08,177,17,"Struggled to meet expectations, requiring more effort.",1
RPT014,TM_PROD005_01,2023-W10,176,19,Goals achieved efficiently with minimal setbacks.,4
RPT015,TM_PROD003_01,2023-W10,103,11,Consistently delivered exceptional performance.,5
RPT016,TM_PROD002_02,2023-W11,96,3,"Balanced performance, meeting expectations.",3
RPT017,TM_PROD005_02,2023-W11,187,6,"Underperformed, with several pending issues.",1
RPT018,TM_PROD005_03,2023-W12,164,19,Partial success in meeting the objectives.,2
RPT019,TM_PROD005_01,2023-W12,67,20,"Most targets achieved, with minor challenges.",3
RPT020,TM_PROD004_02,2023-W12,165,20,"Progress made, but with noticeable inefficiencies.",2
RPT021,TM_PROD005_02,2023-W13,122,1,"Underperformed, with several pending issues.",1
RPT022,TM_PROD002_02,2023-W13,61,0,"Minimal progress made, falling short of key goals.",1
RPT023,TM_PROD002_03,2023-W14,183,0,Partial success in meeting the objectives.,2
RPT024,TM_PROD001_01,2023-W14,95,1,Steady progress with satisfactory results.,3
RPT025,TM_PROD003_01,2023-W15,163,20,Outstanding efficiency and goal achievement.,5
